CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
92354,"$1 under $25,000",3303,583,1932,5184,1378,41584,2395,29970,678,724,224,491,195,272,620,3854,0,189,-173,149,695,442,4322,319,2682,114,208,**,**,351,5175,83,102,213,138,176,492,342,876,133,1463,254,875,1419,8811,550,261,**,**,127,40,24,10,669,792,1254,2718,1098,2327,0,0,993,688,1491,1365,411,220,2619,5714
92354,"$25,000 under $50,000",2124,697,1330,4381,1433,77577,1867,65179,659,561,162,316,134,169,286,2037,0,145,-97,131,1176,328,5781,213,1928,274,1661,**,**,627,10937,364,635,230,291,355,940,621,2086,309,2963,509,2259,2009,39026,947,992,31,23,461,435,100,63,395,577,455,768,365,637,0,0,1589,3922,1682,4471,379,519,1730,4463
92354,"$50,000 under $75,000",1360,586,882,2988,984,83741,1224,70836,639,581,200,591,177,288,209,2248,0,153,9,95,1017,238,5211,100,805,186,2497,28,481,791,15965,635,2132,135,196,501,1427,790,4121,439,4714,702,3583,1344,51805,605,961,47,46,339,534,61,38,101,132,0,0,0,0,20,27,1253,6632,1283,7182,291,669,1068,3270
92354,"$75,000 under $100,000",755,430,540,1874,659,65666,683,54515,484,507,148,416,127,270,129,1332,0,126,60,66,1040,157,4597,61,475,135,2350,**,**,598,14999,534,2434,55,100,437,1461,597,4348,405,5022,534,3396,755,42167,361,611,40,46,217,350,40,23,**,**,0,0,0,0,**,**,737,5986,743,6298,203,617,552,2157
92354,"$100,000 under $200,000",1100,853,778,3124,1133,150143,1022,123727,799,851,288,775,247,442,205,3501,0,280,1006,122,3625,279,9068,84,638,183,3959,**,**,1037,38118,980,7964,49,166,876,3529,1037,12306,772,11474,969,9144,1098,99986,509,742,77,138,217,268,117,67,**,**,0,0,0,0,124,243,1093,17114,1093,17865,342,1691,756,4223
92354,"$200,000 or more",299,254,240,885,332,101568,270,66538,269,1194,147,1634,130,1234,85,10966,0,133,1828,42,2250,69,3377,**,**,55,1561,30,1210,298,21126,290,7641,**,**,271,1574,298,9609,232,4197,283,6156,299,77179,95,498,22,94,0,0,**,**,0,0,0,0,0,0,244,1649,298,20458,298,21316,128,1890,168,1850
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92356,,"1,947",748,"1,215","4,281","1,455","63,416","1,437","44,347",558,712,151,512,123,277,395,"2,725",20,124,267,116,"1,902",373,"7,297",372,"3,224",219,"1,780",0,0,513,"9,362",322,"1,259",172,238,435,740,513,"2,469",388,"3,544",349,938,"1,222","31,563",479,480,42,31,296,341,0,0,440,539,683,"1,482",590,"1,226",0,0,"1,004","4,072","1,229","4,594",306,559,"1,533","4,045"
92356,"$1 under $25,000",1047,239,582,2019,660,12737,692,7677,182,187,58,76,48,44,231,1599,20,42,-32,37,235,158,1475,189,1556,42,59,0,0,83,1017,25,33,48,30,58,96,83,180,56,427,40,81,362,1931,106,37,**,**,49,16,0,0,308,334,534,1217,476,1020,0,0,270,169,461,432,105,65,843,2049
92356,"$25,000 under $50,000",475,229,326,1192,449,17011,380,12330,160,275,31,41,24,23,85,629,**,30,94,32,312,95,1759,102,1023,84,456,0,0,165,2819,80,155,80,98,135,224,165,541,117,1075,110,276,435,7082,202,165,**,**,128,120,0,0,132,205,149,265,114,206,0,0,327,672,358,802,81,127,386,1097
92356,"$50,000 under $75,000",248,146,182,619,212,14988,211,11257,100,101,30,132,25,49,47,223,**,21,80,25,453,60,1547,57,485,52,598,0,0,132,2313,100,327,44,110,120,195,132,637,110,968,92,175,248,9232,105,176,42,31,81,134,0,0,**,**,0,0,0,0,0,0,233,1093,236,1166,57,135,191,486
92356,"$75,000 under $100,000",99,66,67,245,79,8356,89,6512,60,20,32,263,26,161,32,274,**,31,125,22,902,26,895,24,160,41,667,0,0,70,1364,62,253,**,**,63,105,70,423,56,527,54,153,99,5777,38,58,**,**,38,71,0,0,**,**,0,0,0,0,0,0,98,818,97,840,37,119,62,177
92356,"$100,000 under $200,000",78,68,58,206,55,10324,65,6571,56,129,**,**,**,**,**,**,**,**,**,**,**,34,1621,**,**,**,**,0,0,63,1849,55,491,**,**,59,120,63,688,49,547,53,253,78,7541,28,44,**,**,**,**,0,0,**,**,0,0,0,0,0,0,76,1320,77,1354,26,113,51,236
92356,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92358,,327,129,188,608,148,"14,130",245,"10,136",140,190,58,93,46,28,49,416,0,38,183,28,267,81,"1,954",58,621,46,374,0,0,127,"2,662",94,377,29,31,111,222,127,685,103,"1,084",109,307,250,"8,154",95,87,0,0,30,28,0,0,32,41,60,108,51,93,0,0,227,"1,142",248,"1,220",72,153,238,556
92358,"$1 under $25,000",140,31,68,228,54,1780,96,1144,35,33,33,50,25,14,27,184,0,**,**,**,**,22,272,24,210,23,94,0,0,**,**,**,**,29,31,**,**,**,**,**,**,**,**,66,349,22,7,0,0,**,**,0,0,32,41,60,108,51,93,0,0,51,30,69,62,21,13,103,214
92358,"$25,000 under $50,000",85,34,46,166,46,3114,64,1940,38,50,**,**,**,**,22,232,0,**,**,28,267,28,614,34,411,**,**,0,0,54,818,29,37,**,**,45,79,54,151,44,376,44,78,82,1475,46,33,0,0,30,28,0,0,**,**,**,**,**,**,0,0,75,158,78,177,29,45,69,138
92358,"$50,000 under $75,000",43,20,32,77,27,2665,36,1994,43,48,25,43,21,14,**,**,0,38,183,**,**,31,1068,**,**,23,280,0,0,26,484,21,66,**,**,21,33,26,118,20,194,42,89,43,1748,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,43,244,43,246,**,**,30,67
92358,"$75,000 under $100,000",31,20,22,64,**,2656,25,1867,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,23,456,20,83,**,**,22,42,23,146,39,514,**,**,31,1885,27,47,0,0,**,**,0,0,0,0,0,0,0,0,0,0,30,267,30,281,22,95,36,137
92358,"$100,000 under $200,000",28,24,20,73,21,3915,24,3191,24,59,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,24,904,24,191,0,0,23,68,24,270,**,**,23,140,28,2697,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,28,443,28,454,**,**,**,**
92358,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92359,,"3,491","1,319","2,230","7,512","2,660","158,429","2,942","131,287","1,232","1,017",345,759,294,454,614,"6,054",34,276,523,182,"2,303",496,"9,238",487,"4,407",289,"2,671",0,0,"1,269","29,729",975,"4,647",264,389,"1,086","2,946","1,266","8,604","1,047","12,780","1,024","3,016","2,671","89,293","1,244","1,548",89,103,779,971,182,104,556,689,798,"1,707",684,"1,451",56,173,"2,325","12,148","2,569","13,245",586,"1,494","2,824","8,071"
92359,"$1 under $25,000",1403,216,806,2242,660,17789,1051,12221,245,204,76,142,70,77,268,1913,**,64,-54,49,278,154,1440,210,1670,36,68,0,0,120,1670,33,22,77,56,81,180,117,288,80,750,68,109,626,3725,197,74,**,**,69,26,**,**,337,379,560,1309,491,1123,**,**,498,324,692,630,165,107,1165,2519
92359,"$25,000 under $50,000",904,292,591,1993,753,32768,796,26671,260,267,79,218,63,118,132,1210,**,67,-6,47,421,109,1931,143,1614,98,526,0,0,254,4147,153,249,91,95,192,405,254,842,183,1612,192,367,864,16205,424,419,**,**,279,273,56,30,194,272,238,398,193,328,**,**,678,1576,722,1805,150,185,749,1976
92359,"$50,000 under $75,000",519,285,360,1320,497,32009,471,26841,262,152,66,84,55,42,72,829,34,52,7,34,658,97,2132,71,574,80,952,0,0,311,6400,247,702,58,115,271,641,311,1590,256,2769,253,669,517,18993,258,412,45,39,180,291,28,17,25,38,0,0,0,0,**,**,491,2226,496,2399,118,252,398,1200
92359,"$75,000 under $100,000",329,236,227,912,332,28220,301,24104,222,180,51,110,42,67,78,398,**,49,-32,52,946,64,1817,36,353,41,635,0,0,266,6790,239,987,38,123,242,684,266,1897,237,3074,238,769,328,17412,193,363,23,37,143,228,35,20,**,**,0,0,0,0,**,**,322,2177,323,2285,66,142,263,1032
92359,"$100,000 under $200,000",311,266,224,969,391,40306,299,36250,243,214,73,205,64,150,64,1704,**,44,608,**,**,72,1918,27,196,34,490,0,0,294,9465,279,2160,**,**,278,922,294,3329,291,4575,273,1102,311,27162,172,280,21,27,108,153,63,37,0,0,0,0,0,0,35,68,311,4351,311,4519,87,808,249,1344
92359,"$200,000 or more",25,24,22,76,27,7337,24,5200,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,24,1257,24,527,0,0,22,114,24,658,**,**,**,**,25,5796,**,**,**,**,0,0,**,**,0,0,0,0,0,0,21,105,25,1494,25,1607,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92363,,"1,898",670,"1,395","3,952","1,325","73,278","1,516","49,510",579,871,175,582,150,448,267,"2,159",0,160,"1,580",156,"2,568",414,"9,031",252,"1,933",280,"2,581",0,0,423,"9,165",303,"1,702",111,158,364,686,423,"2,779",304,"2,466",332,824,"1,279","42,114",461,516,43,33,297,372,49,25,379,426,582,"1,402",528,"1,275",0,0,"1,137","5,971","1,263","6,373",298,815,"1,532","4,294"
92363,"$1 under $25,000",1006,149,698,1834,662,12553,771,8419,156,119,41,85,35,37,130,851,0,34,8,45,302,142,1419,149,938,51,77,0,0,45,647,**,**,34,27,35,60,45,129,24,194,30,54,400,2382,97,33,**,**,45,16,**,**,307,322,483,1225,450,1126,0,0,327,222,438,361,90,43,848,2094
92363,"$25,000 under $50,000",406,153,298,870,281,14380,339,10584,117,177,28,21,24,13,57,249,0,32,41,33,316,91,1680,51,572,90,518,0,0,71,1137,41,71,33,36,58,96,71,215,48,398,54,69,394,7232,155,146,**,**,108,104,27,14,72,104,99,177,78,149,0,0,332,738,346,793,71,79,335,902
92363,"$50,000 under $75,000",196,125,159,461,133,11930,156,7499,95,148,55,99,49,51,27,189,0,28,12,30,439,81,2046,29,256,71,893,0,0,83,1603,57,217,44,95,71,135,83,433,63,472,63,154,195,7522,83,124,43,33,53,91,**,**,**,**,0,0,0,0,0,0,189,918,190,978,54,103,142,393
92363,"$75,000 under $100,000",129,105,108,367,129,11197,115,8327,83,231,**,**,**,**,24,229,0,22,103,20,287,40,1380,23,167,27,392,0,0,87,1762,76,310,**,**,77,147,87,541,68,537,67,180,129,7577,70,125,**,**,55,103,22,11,0,0,0,0,0,0,0,0,128,976,128,1023,28,83,101,366
92363,"$100,000 under $200,000",161,138,132,420,120,23218,135,14681,128,196,51,377,42,347,29,641,0,44,1416,28,1224,60,2506,**,**,41,701,0,0,137,4016,129,1104,**,**,123,248,137,1461,101,865,118,367,161,17401,56,88,**,**,36,58,**,**,0,0,0,0,0,0,0,0,161,3117,161,3218,55,507,106,539
92363,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92365,,737,343,460,"1,658",551,"28,553",579,"21,528",257,267,87,135,80,73,107,622,0,62,158,44,706,164,"3,393",89,782,94,810,0,0,181,"3,710",128,619,49,88,153,263,181,"1,065",135,"1,200",146,512,480,"15,806",209,281,49,90,114,133,0,0,142,200,204,462,190,420,0,0,408,"2,073",457,"2,275",89,351,616,"1,806"
92365,"$1 under $25,000",360,94,201,686,229,4350,253,3002,82,83,26,12,24,8,53,370,0,36,-1,**,**,66,686,43,303,**,**,0,0,24,327,**,**,29,31,23,32,24,95,34,211,**,**,118,610,37,13,**,**,**,**,0,0,97,112,167,388,156,352,0,0,90,51,134,117,30,13,299,751
92365,"$25,000 under $50,000",170,88,120,418,145,6169,141,4764,58,41,38,81,34,25,21,140,0,**,**,44,706,37,724,25,266,72,428,0,0,37,528,29,76,**,**,23,47,37,115,**,**,44,106,156,2908,68,55,28,25,54,39,0,0,45,88,37,74,34,68,0,0,123,303,128,329,35,56,151,442
92365,"$50,000 under $75,000",95,64,66,223,62,5845,83,4694,43,53,**,**,**,**,33,112,0,26,159,**,**,24,715,21,213,**,**,0,0,38,742,32,97,20,57,32,46,38,173,30,219,32,94,94,3733,42,57,**,**,23,32,0,0,**,**,0,0,0,0,0,0,88,451,88,466,**,**,78,220
92365,"$75,000 under $100,000",63,53,41,177,56,5423,57,4285,41,28,23,42,22,40,**,**,0,**,**,**,**,37,1268,**,**,22,382,0,0,42,896,32,136,**,**,38,63,42,250,35,311,35,132,63,3649,32,69,21,65,37,62,0,0,**,**,0,0,0,0,0,0,60,446,60,480,24,282,53,225
92365,"$100,000 under $200,000",49,44,32,154,59,6766,45,4783,33,62,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,40,1217,35,310,**,**,37,75,40,432,36,459,35,180,49,4906,30,87,**,**,**,**,0,0,0,0,0,0,0,0,0,0,47,822,47,883,**,**,35,168
92365,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92368,,309,115,188,742,303,"10,134",251,"7,120",77,46,0,0,0,0,54,336,0,0,0,0,0,48,925,48,334,32,341,0,0,62,"1,714",45,194,0,0,53,113,62,364,44,495,44,125,161,"4,994",64,73,0,0,51,59,0,0,91,126,134,306,120,263,0,0,129,700,167,764,44,189,253,762
92368,"$1 under $25,000",185,40,94,392,161,2204,141,1522,36,30,0,0,0,0,54,336,0,0,0,0,0,25,279,21,133,**,**,0,0,25,769,**,**,0,0,**,**,25,82,**,**,**,**,42,230,**,**,0,0,**,**,0,0,68,94,114,269,120,263,0,0,33,21,67,69,24,19,159,441
92368,"$25,000 under $50,000",58,27,43,158,67,2126,50,1775,**,**,0,0,0,0,**,**,0,0,0,0,0,**,**,27,201,32,341,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,54,874,38,25,0,0,29,19,0,0,23,32,20,37,**,**,0,0,35,86,40,93,**,**,48,158
92368,"$50,000 under $75,000",66,48,51,192,75,5804,60,3823,41,16,0,0,0,0,**,**,0,0,0,0,0,23,646,**,**,**,**,0,0,37,945,45,194,0,0,53,113,37,282,44,495,44,125,65,3890,26,48,0,0,22,40,0,0,**,**,0,0,0,0,0,0,61,593,60,602,20,170,46,163
92368,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,0,0,0,0,**,**,0,0,0,0,0,**,**,**,**,**,**,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
92368,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,0,0,0,0,**,**,0,0,0,0,0,**,**,**,**,**,**,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
92368,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,0,0,0,0,**,**,0,0,0,0,0,**,**,**,**,**,**,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92371,,"3,407","1,527","2,247","8,269","3,301","143,338","2,709","110,173","1,122",560,233,399,197,250,717,"6,738",40,230,383,162,"2,616",571,"13,072",650,"5,799",276,"2,568",0,0,"1,265","28,604",886,"3,760",350,454,"1,103","2,565","1,263","7,548","1,076","12,299",928,"2,487","2,370","74,855","1,148","1,468",114,141,746,969,86,53,758,"1,003",956,"2,216",807,"1,769",45,107,"1,960","9,954","2,390","11,257",573,"1,425","2,738","8,128"
92371,"$1 under $25,000",1541,355,960,2890,1058,19255,1042,11579,264,208,55,47,45,37,388,3494,**,65,-21,50,337,169,1608,275,2252,35,45,0,0,164,2556,35,24,121,97,130,290,164,462,129,1369,82,132,578,3267,172,62,**,**,60,20,**,**,433,529,687,1721,594,1376,**,**,462,289,793,830,195,120,1255,2933
92371,"$25,000 under $50,000",815,391,566,2161,885,29590,691,22264,264,109,49,100,42,33,152,1754,**,43,47,40,409,156,2551,192,1958,107,583,0,0,308,5349,167,291,130,132,250,518,307,1076,245,2383,206,385,745,12209,395,375,37,21,273,252,34,21,250,380,269,495,213,393,0,0,528,1086,605,1407,131,224,680,2068
92371,"$50,000 under $75,000",502,317,332,1467,629,31058,464,25930,238,89,44,150,40,107,81,645,40,40,-19,42,762,97,2251,99,895,66,862,0,0,319,6518,250,685,62,110,277,592,318,1583,268,2902,234,492,499,17328,282,482,39,46,213,355,30,18,75,94,0,0,0,0,**,**,434,1868,452,2065,94,244,408,1386
92371,"$75,000 under $100,000",269,222,194,847,350,23261,249,19374,171,81,39,43,31,26,47,450,**,33,50,**,**,59,1835,44,373,40,617,0,0,204,5110,181,703,37,115,190,425,204,1335,190,2141,172,500,268,14339,146,283,**,**,113,224,**,**,**,**,0,0,0,0,**,**,257,1753,260,1880,62,219,206,773
92371,"$100,000 under $200,000",258,221,195,833,351,33673,241,27441,185,73,46,59,39,47,49,395,**,49,326,30,1108,90,4827,40,321,28,461,0,0,248,7942,232,1727,**,**,234,650,248,2639,222,3103,212,855,258,22599,153,266,38,74,87,118,22,14,0,0,0,0,0,0,45,107,257,3684,258,3839,91,618,189,968
92371,"$200,000 or more",22,21,**,71,28,6501,22,3585,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,22,1129,21,330,**,**,22,90,22,453,22,401,22,123,22,5113,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,22,1274,22,1236,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92372,,"1,881",954,"1,245","4,235","1,404","91,642","1,417","67,499",784,611,214,"1,170",174,"1,017",375,"2,994",0,185,"1,266",166,"2,631",437,"10,071",317,"3,150",233,"2,295",0,0,779,"17,801",571,"2,802",197,292,698,"1,591",779,"5,125",655,"7,269",592,"1,719","1,395","52,589",567,790,72,115,356,485,34,20,247,323,383,769,314,600,29,98,"1,234","7,233","1,409","7,867",342,809,"1,462","4,354"
92372,"$1 under $25,000",757,192,463,1259,356,9211,465,4571,187,198,61,66,53,42,187,1424,0,55,-13,53,318,141,1591,121,1107,38,58,0,0,91,1403,**,**,67,45,73,155,91,245,63,548,54,105,291,1535,70,25,**,**,23,9,**,**,139,161,292,615,240,472,0,0,241,135,387,359,113,71,573,1124
92372,"$25,000 under $50,000",387,193,269,911,314,14131,297,9433,132,107,38,59,31,19,68,878,0,32,9,40,480,89,1804,79,958,67,372,0,0,119,1988,84,103,53,60,100,193,119,384,90,857,79,158,368,6443,147,139,**,**,107,101,**,**,81,123,91,154,74,128,0,0,287,634,310,790,85,134,297,836
92372,"$50,000 under $75,000",318,207,218,840,299,19534,264,14874,171,169,41,101,51,46,58,351,0,56,228,52,884,86,2560,50,543,67,827,0,0,207,4097,152,483,51,103,193,385,207,1073,177,1758,142,349,317,11257,150,239,46,39,99,170,34,20,27,39,0,0,0,0,**,**,293,1292,299,1386,55,138,262,823
92372,"$75,000 under $100,000",190,157,133,555,200,16295,178,13553,137,52,26,12,**,**,30,132,0,**,**,**,**,45,1237,32,191,34,574,0,0,153,3566,140,569,26,84,135,300,153,1003,135,1537,129,317,190,10274,90,175,**,**,68,122,**,**,**,**,0,0,0,0,**,**,185,1295,185,1340,34,83,156,629
92372,"$100,000 under $200,000",229,205,162,670,235,32471,213,25068,157,85,48,932,39,910,32,209,0,42,1042,21,949,76,2879,35,351,27,464,0,0,209,6747,195,1647,**,**,197,558,209,2420,190,2569,188,790,229,23080,110,212,26,76,59,83,**,**,**,**,0,0,0,0,29,98,228,3877,228,3992,55,383,174,942
92372,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92373,,"15,108","6,186","9,421","29,656","8,588","1,216,806","11,929","808,877","7,507","15,915","3,782","25,792","3,365","19,324","2,748","58,133",95,"3,149","27,110","1,615","35,487","3,350","115,550","1,390","12,286","2,328","32,230",278,"8,406","6,972","235,931","5,658","59,115","1,137","1,996","5,760","25,293","6,951","90,294","4,995","76,099","6,098","35,387","12,581","829,411","5,256","6,241",689,"1,027","2,110","2,582",628,339,"1,232","1,546","1,936","3,659","1,590","2,986","1,140","8,485","11,507","164,296","12,306","174,687","3,672","17,995","10,952","37,782"
92373,"$1 under $25,000",4583,565,2537,6198,1462,56782,3278,38792,1106,1215,583,1189,501,614,802,5903,**,450,-236,252,1626,566,5313,564,4613,189,354,**,**,461,8828,97,208,305,482,287,809,447,1650,234,2947,296,597,2248,13980,736,298,**,**,167,66,38,13,712,808,1418,2820,1188,2334,**,**,1741,1213,2343,2187,662,383,3495,6344
92373,"$25,000 under $50,000",3093,795,1834,5681,1692,114286,2505,86718,1034,1324,464,1525,408,802,419,5124,28,373,519,247,2464,591,11649,362,3760,475,3068,**,**,832,15085,449,859,349,443,543,1556,827,3136,456,4936,662,1950,2938,62374,1249,1204,60,46,611,585,118,72,417,604,518,839,402,652,0,0,2514,6706,2648,7664,634,1018,2429,5646
92373,"$50,000 under $75,000",2240,906,1409,4368,1184,138385,1805,102571,1246,1846,535,2026,475,1156,345,4057,**,445,384,293,3319,592,17248,181,1576,456,5916,44,500,1161,24779,896,2886,238,358,899,2786,1160,6478,766,8958,1000,3103,2213,88691,888,1215,107,119,483,692,91,44,82,110,0,0,0,0,28,28,2107,11778,2155,12609,592,1258,1638,4693
92373,"$75,000 under $100,000",1567,926,1046,3558,1043,135451,1265,96259,1069,1785,477,2182,434,1433,280,3318,**,397,1101,224,4411,477,18539,105,863,382,6290,**,**,1137,27302,1001,4604,120,264,919,2933,1136,8372,811,10129,1003,3575,1560,90772,737,1158,135,172,400,654,98,60,21,24,0,0,0,0,**,**,1534,12899,1543,13585,430,1195,1130,4022
92373,"$100,000 under $200,000",2547,2046,1716,6730,2113,347325,2146,244462,2049,3237,1042,5491,949,3773,583,16447,30,849,3328,434,11938,850,42882,178,1474,605,11373,80,1630,2307,76403,2174,17978,102,332,2078,9128,2307,28785,1839,28443,2123,10520,2545,243908,1209,1588,276,413,449,585,218,113,**,**,0,0,0,0,207,390,2534,42013,2540,44701,839,4055,1703,8717
92373,"$200,000 or more",1078,948,879,3121,1094,424577,930,240075,1003,6508,681,13379,598,11546,319,23284,37,635,22014,165,11729,274,19919,**,**,221,5229,154,6276,1074,83534,1041,32580,23,117,1034,8081,1074,41873,889,20686,1014,15642,1077,329686,437,778,111,277,0,0,65,37,0,0,0,0,0,0,905,8067,1077,89687,1077,93941,515,10086,557,8360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92374,,"16,548","6,214","10,205","35,708","12,687","887,113","13,633","680,544","6,360","6,543","2,158","5,430","1,862","3,300","2,895","31,791",72,"1,681","5,645","1,070","13,394","2,843","74,224","1,969","16,937","1,636","17,376",83,"2,436","6,273","168,526","4,983","32,839","1,125","1,526","5,431","16,611","6,254","54,454","5,094","64,534","5,357","21,891","12,474","535,608","5,752","7,130",571,607,"3,180","3,863",712,403,"2,915","3,819","3,673","8,533","3,255","7,170",461,"2,891","10,773","88,410","12,086","94,130","2,901","8,869","13,228","40,105"
92374,"$1 under $25,000",6732,868,3742,11125,3659,84335,4909,59723,1128,897,384,694,336,346,1416,9761,22,314,-277,245,1208,713,6997,875,6376,174,290,**,**,490,8236,113,226,320,238,321,770,480,1338,285,2867,299,681,2880,16797,966,365,**,**,340,115,59,18,1864,2232,2720,6912,2480,5803,**,**,2196,1437,3253,3004,712,374,5629,13040
92374,"$25,000 under $50,000",3629,1157,2362,8179,3142,131081,3118,104538,1106,904,330,657,271,334,419,3340,**,231,-95,237,2643,642,11609,498,5011,495,2808,**,**,1060,18101,618,949,400,452,819,1789,1052,3584,761,7315,819,1809,3438,63210,1743,1684,87,61,1064,1009,181,105,869,1348,953,1621,775,1367,0,0,2613,6108,2810,6901,573,843,3038,8284
92374,"$50,000 under $75,000",2373,1180,1540,5687,2050,146573,2079,118081,1230,901,359,656,302,363,321,3605,**,281,-37,189,1898,499,13998,262,2481,399,4942,**,**,1391,27889,1105,3139,258,428,1182,2969,1390,7147,1116,11876,1167,3353,2353,88954,1124,1791,125,112,785,1233,129,70,162,216,0,0,0,0,**,**,2181,10919,2233,11595,539,1104,1828,5315
